Category,iso3,ID,staff_category,event_participant,topics,region,country_name
NN,ABW,14390,Category A,0,N/A,Region A,Aruba
NN,ABW,13876,N/A,0,N/A,Region A,Aruba
NN,ABW,225,N/A,0,Gender,Region A,Aruba
NN,AFG,5977,"Category A,Category B",0,"Health,Poverty",Region B,Afghanistan
NN,AFG,443,Category B,0,N/A,Region B,Afghanistan
NN,AFG,4749,"Category B,Category C",0,"Energy,Environment,Gender,Governance,Integration,Poverty,Resilience",Region B,Afghanistan
NN,AFG,137,"Category B,Category C",0,Health,Region B,Afghanistan
NN,AFG,13511,"Category A,Category B,Category C",0,"Gender,Governance",Region B,Afghanistan
NN,AFG,13393,Category B,N/A,Poverty,Region B,Afghanistan
NN,AFG,9051,Category B,0,Health,Region B,Afghanistan
NN,AFG,556,Category B,0,Integration,Region B,Afghanistan
NN,AFG,1998,Category B,N/A,"Integration,Poverty",Region B,Afghanistan
NN,AFG,13576,"Category B,Category C",N/A,Poverty,Region B,Afghanistan
NN,AFG,6219,Category B,N/A,Poverty,Region B,Afghanistan
NN,AFG,9881,Category B,N/A,N/A,Region B,Afghanistan
NN,AFG,7880,Category B,N/A,Poverty,Region B,Afghanistan
NN,AFG,168,"Category A,Category B,Category C",N/A,Health,Region B,Afghanistan
NN,AFG,10172,Category B,N/A,Poverty,Region B,Afghanistan
NN,AFG,2062,"Category A,Category B",0,N/A,Region B,Afghanistan
